order_number,customer_key,product_key,order_date,shipping_date,due_date,sales_amount,quantity,price
SO44325,96,3,2011-04-01,2011-04-08,2011-04-13,3375,1,3375
SO44365,6913,15,2011-04-08,2011-04-15,2011-04-20,3578,1,3578
SO44387,97,3,2011-04-11,2011-04-18,2011-04-23,3375,1,3375
SO44391,6731,15,2011-04-11,2011-04-18,2011-04-23,3578,1,3578
SO44407,78,3,2011-04-15,2011-04-22,2011-04-27,3375,1,3375
SO44446,6915,15,2011-04-25,2011-05-02,2011-05-07,3578,1,3578
SO44576,17661,15,2011-05-01,2011-05-08,2011-05-13,3578,1,3578
SO44593,17646,15,2011-05-05,2011-05-12,2011-05-17,3578,1,3578
SO44645,345,7,2011-05-13,2011-05-20,2011-05-25,3400,1,3400
SO44690,112,7,2011-05-20,2011-05-27,2011-06-01,3400,1,3400
SO44815,445,3,2011-06-01,2011-06-08,2011-06-13,3375,1,3375
SO44845,17846,15,2011-06-06,2011-06-13,2011-06-18,3578,1,3578
SO44895,14952,3,2011-06-12,2011-06-19,2011-06-24,3375,1,3375
SO44901,1333,15,2011-06-13,2011-06-20,2011-06-25,3578,1,3578
SO44910,14970,7,2011-06-14,2011-06-21,2011-06-26,3400,1,3400
SO71529,15386,122,2013-11-25,2013-12-02,2013-12-07,21,1,21
SO71529,15386,112,2013-11-25,2013-12-02,2013-12-07,2,1,2
SO71574,314,112,2013-11-26,2013-12-03,2013-12-08,2,1,2
SO71590,12948,110,2013-11-26,2013-12-03,2013-12-08,35,1,35
SO51497,8171,147,2013-01-16,2013-01-23,2013-01-28,1120,1,1120
SO51497,8171,112,2013-01-16,2013-01-23,2013-01-28,2,1,2
SO51521,17672,172,2013-01-18,2013-01-25,2013-01-30,742,1,742
SO51526,11615,147,2013-01-18,2013-01-25,2013-01-30,1120,1,1120
SO51533,292,141,2013-01-19,2013-01-26,2013-01-31,2295,1,2295
SO51561,26,202,2013-01-20,2013-01-27,2013-02-01,64,1,64
SO51567,4277,122,2013-01-20,2013-01-27,2013-02-01,21,1,21
SO51567,4277,112,2013-01-20,2013-01-27,2013-02-01,2,1,2
SO51488,9037,103,2013-01-16,2013-01-23,2013-01-28,9,1,9
SO51509,11394,103,2013-01-17,2013-01-24,2013-01-29,9,1,9
SO51547,1301,149,2013-01-20,2013-01-27,2013-02-01,2443,1,2443
SO51566,13415,103,2013-01-20,2013-01-27,2013-02-01,9,1,9
SO51630,8200,146,2013-01-24,2013-01-31,2013-02-05,1120,1,1120
SO51630,8200,103,2013-01-24,2013-01-31,2013-02-05,9,1,9
SO51654,13434,117,2013-01-25,2013-02-01,2013-02-06,5,1,5
SO51654,13434,185,2013-01-25,2013-02-01,2013-02-06,24,1,24
SO51661,9838,120,2013-01-26,2013-02-02,2013-02-07,4,1,4
SO51674,12598,120,2013-01-27,2013-02-03,2013-02-08,4,1,4
SO51904,3205,120,2013-01-28,2013-02-04,2013-02-09,4,1,4
SO51932,1099,183,2013-01-29,2013-02-05,2013-02-10,9,1,9
SO51941,9538,183,2013-01-29,2013-02-05,2013-02-10,9,1,9
SO51963,13064,103,2013-01-29,2013-02-05,2013-02-10,9,1,9
SO51965,7251,120,2013-01-30,2013-02-06,2013-02-11,4,1,4
SO65976,10490,113,2013-09-08,2013-09-15,2013-09-20,5,1,5
SO65981,8350,113,2013-09-08,2013-09-15,2013-09-20,5,1,5
SO65990,5544,117,2013-09-08,2013-09-15,2013-09-20,5,1,5
SO65990,5544,183,2013-09-08,2013-09-15,2013-09-20,9,1,9
SO65993,1535,183,2013-09-08,2013-09-15,2013-09-20,9,1,9
SO66007,16707,103,2013-09-08,2013-09-15,2013-09-20,9,1,9
SO66033,18331,120,2013-09-09,2013-09-16,2013-09-21,4,1,4
SO66056,4960,113,2013-09-09,2013-09-16,2013-09-21,5,1,5
SO66076,430,103,2013-09-09,2013-09-16,2013-09-21,9,1,9
SO66079,14738,120,2013-09-10,2013-09-17,2013-09-22,4,1,4
SO66090,2822,113,2013-09-10,2013-09-17,2013-09-22,5,1,5
SO66098,18261,120,2013-09-10,2013-09-17,2013-09-22,4,1,4
SO66192,12662,159,2013-09-11,2013-09-18,2013-09-23,1701,1,1701
SO66196,15540,173,2013-09-11,2013-09-18,2013-09-23,2384,1,2384
SO66196,15540,117,2013-09-11,2013-09-18,2013-09-23,5,1,5
SO66219,14351,113,2013-09-12,2013-09-19,2013-09-24,5,1,5
SO68714,1518,183,2013-10-19,2013-10-26,2013-10-31,9,1,9
SO68736,1685,103,2013-10-19,2013-10-26,2013-10-31,9,1,9
SO68754,7885,113,2013-10-20,2013-10-27,2013-11-01,5,1,5
SO68766,4742,113,2013-10-20,2013-10-27,2013-11-01,5,1,5
SO68769,12947,120,2013-10-20,2013-10-27,2013-11-01,4,1,4
SO68771,17545,117,2013-10-20,2013-10-27,2013-11-01,5,1,5
SO68785,16155,103,2013-10-20,2013-10-27,2013-11-01,9,1,9
SO68790,15022,103,2013-10-20,2013-10-27,2013-11-01,9,1,9
SO68801,7432,159,2013-10-20,2013-10-27,2013-11-01,1701,1,1701
SO68864,10257,159,2013-10-21,2013-10-28,2013-11-02,1701,1,1701
SO68874,12378,103,2013-10-21,2013-10-28,2013-11-02,9,1,9
SO68926,5845,113,2013-10-22,2013-10-29,2013-11-03,5,1,5
SO68941,12214,103,2013-10-22,2013-10-29,2013-11-03,9,1,9
SO68942,12211,103,2013-10-22,2013-10-29,2013-11-03,9,1,9
SO68949,429,117,2013-10-22,2013-10-29,2013-11-03,5,1,5
SO68976,18013,196,2013-10-23,2013-10-30,2013-11-04,70,1,70
SO68976,18013,183,2013-10-23,2013-10-30,2013-11-04,9,1,9
SO43773,5527,16,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43775,28,8,2011-01-16,2011-01-23,2011-01-28,3400,1,3400
SO43803,10742,16,2011-01-22,2011-01-29,2011-02-03,3578,1,3578
SO43815,5495,13,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43839,16674,13,2011-01-28,2011-02-04,2011-02-09,3578,1,3578
SO43941,2601,16,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO44137,6329,16,2011-03-01,2011-03-08,2011-03-13,3578,1,3578
SO44158,2568,13,2011-03-05,2011-03-12,2011-03-17,3578,1,3578
SO44163,17194,16,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44184,6248,16,2011-03-10,2011-03-17,2011-03-22,3578,1,3578
SO44331,17258,13,2011-04-03,2011-04-10,2011-04-15,3578,1,3578
SO44371,6515,13,2011-04-09,2011-04-16,2011-04-21,3578,1,3578
SO44445,6479,16,2011-04-25,2011-05-02,2011-05-07,3578,1,3578
SO44573,14918,8,2011-05-01,2011-05-08,2011-05-13,3400,1,3400
SO44587,17628,13,2011-05-04,2011-05-11,2011-05-16,3578,1,3578
SO44612,17676,13,2011-05-08,2011-05-15,2011-05-20,3578,1,3578
SO44625,17659,16,2011-05-10,2011-05-17,2011-05-22,3578,1,3578
SO44632,7197,16,2011-05-11,2011-05-18,2011-05-23,3578,1,3578
SO44701,3637,54,2011-05-23,2011-05-30,2011-06-04,699,1,699
SO44703,1301,13,2011-05-24,2011-05-31,2011-06-05,3578,1,3578
SO44836,7466,16,2011-06-04,2011-06-11,2011-06-16,3578,1,3578
SO44852,18129,13,2011-06-07,2011-06-14,2011-06-19,3578,1,3578
SO71546,11977,183,2013-11-25,2013-12-02,2013-12-07,9,1,9
SO71590,12948,120,2013-11-26,2013-12-03,2013-12-08,4,1,4
SO71602,11195,103,2013-11-26,2013-12-03,2013-12-08,9,1,9
SO71609,4724,113,2013-11-26,2013-12-03,2013-12-08,5,1,5
SO71636,850,183,2013-11-27,2013-12-04,2013-12-09,9,1,9
SO51486,5799,120,2013-01-16,2013-01-23,2013-01-28,4,1,4
SO51497,8171,120,2013-01-16,2013-01-23,2013-01-28,4,1,4
SO51506,617,117,2013-01-17,2013-01-24,2013-01-29,5,1,5
SO51514,6701,135,2013-01-18,2013-01-25,2013-01-30,565,1,565
SO51514,6701,183,2013-01-18,2013-01-25,2013-01-30,9,1,9
SO51541,11631,183,2013-01-19,2013-01-26,2013-01-31,9,1,9
SO51581,8,113,2013-01-21,2013-01-28,2013-02-02,5,1,5
SO51639,4631,113,2013-01-25,2013-02-01,2013-02-06,5,1,5
SO51581,8,137,2013-01-21,2013-01-28,2013-02-02,2295,1,2295
SO51639,4631,112,2013-01-25,2013-02-01,2013-02-06,2,1,2
SO51646,65,101,2013-01-25,2013-02-01,2013-02-06,10,1,10
SO51652,451,112,2013-01-25,2013-02-01,2013-02-06,2,1,2
SO51655,10577,154,2013-01-25,2013-02-01,2013-02-06,540,1,540
SO51656,13662,202,2013-01-25,2013-02-01,2013-02-06,64,1,64
SO51669,15307,165,2013-01-26,2013-02-02,2013-02-07,742,1,742
SO51886,7294,112,2013-01-28,2013-02-04,2013-02-09,2,1,2
SO51890,4572,115,2013-01-28,2013-02-04,2013-02-09,33,1,33
SO51890,4572,112,2013-01-28,2013-02-04,2013-02-09,2,1,2
SO51934,17238,122,2013-01-29,2013-02-05,2013-02-10,21,1,21
SO51942,224,101,2013-01-29,2013-02-05,2013-02-10,100,10,10
SO51957,1062,110,2013-01-29,2013-02-05,2013-02-10,35,1,35
SO43793,1,7,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43990,14873,7,2011-02-12,2011-02-19,2011-02-24,3400,1,3400
SO44046,17065,15,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44168,1212,15,2011-03-07,2011-03-14,2011-03-19,3578,1,3578
SO44171,17113,15,2011-03-07,2011-03-14,2011-03-19,3578,1,3578
SO44201,1255,15,2011-03-16,2011-03-23,2011-03-28,3578,1,3578
SO44207,17163,15,2011-03-17,2011-03-24,2011-03-29,3578,1,3578
SO44389,6926,15,2011-04-11,2011-04-18,2011-04-23,3578,1,3578
SO44394,17247,15,2011-04-12,2011-04-19,2011-04-24,3578,1,3578
SO44584,17672,15,2011-05-04,2011-05-11,2011-05-16,3578,1,3578
SO44668,17622,15,2011-05-16,2011-05-23,2011-05-28,3578,1,3578
SO60280,6803,110,2013-06-16,2013-06-23,2013-06-28,35,1,35
SO60292,517,141,2013-06-16,2013-06-23,2013-06-28,2295,1,2295
SO60292,517,112,2013-06-16,2013-06-23,2013-06-28,2,1,2
SO60336,13848,184,2013-06-17,2013-06-24,2013-06-29,24,1,24
SO60341,224,122,2013-06-17,2013-06-24,2013-06-29,21,1,21
SO60341,224,112,2013-06-17,2013-06-24,2013-06-29,2,1,2
SO60357,1514,122,2013-06-17,2013-06-24,2013-06-29,21,1,21
SO60357,1514,112,2013-06-17,2013-06-24,2013-06-29,2,1,2
SO60359,887,141,2013-06-17,2013-06-24,2013-06-29,2295,1,2295
SO60359,887,112,2013-06-17,2013-06-24,2013-06-29,2,1,2
SO60444,9282,147,2013-06-18,2013-06-25,2013-06-30,1120,1,1120
SO60520,3775,137,2013-06-20,2013-06-27,2013-07-02,2295,1,2295
SO60536,9516,101,2013-06-20,2013-06-27,2013-07-02,10,1,10
SO60536,9516,184,2013-06-20,2013-06-27,2013-07-02,24,1,24
SO60583,4572,101,2013-06-21,2013-06-28,2013-07-03,10,1,10
SO57479,12985,110,2013-05-04,2013-05-11,2013-05-16,35,1,35
SO57525,14391,184,2013-05-05,2013-05-12,2013-05-17,24,1,24
SO57530,417,154,2013-05-05,2013-05-12,2013-05-17,540,1,540
SO57548,16756,122,2013-05-06,2013-05-13,2013-05-18,21,1,21
SO57557,4840,112,2013-05-06,2013-05-13,2013-05-18,2,1,2
SO57587,985,112,2013-05-06,2013-05-13,2013-05-18,2,1,2
SO57600,4661,110,2013-05-07,2013-05-14,2013-05-19,35,1,35
SO57645,6510,112,2013-05-08,2013-05-15,2013-05-20,2,1,2
SO57647,4865,101,2013-05-08,2013-05-15,2013-05-20,10,1,10
SO57669,3282,137,2013-05-08,2013-05-15,2013-05-20,2295,1,2295
SO57713,2223,101,2013-05-09,2013-05-16,2013-05-21,10,1,10
SO57713,2223,186,2013-05-09,2013-05-16,2013-05-21,24,1,24
SO57731,2355,137,2013-05-09,2013-05-16,2013-05-21,2295,1,2295
SO57733,8950,115,2013-05-09,2013-05-16,2013-05-21,33,1,33
SO57788,13914,147,2013-05-11,2013-05-18,2013-05-23,1120,1,1120
SO57801,8575,112,2013-05-11,2013-05-18,2013-05-23,2,1,2
SO68698,12742,115,2013-10-19,2013-10-26,2013-10-31,33,1,33
SO68706,6383,184,2013-10-19,2013-10-26,2013-10-31,24,1,24
SO68730,12408,122,2013-10-19,2013-10-26,2013-10-31,21,1,21
SO68750,4656,112,2013-10-20,2013-10-27,2013-11-01,2,1,2
SO68751,15268,122,2013-10-20,2013-10-27,2013-11-01,21,1,21
SO68756,9536,101,2013-10-20,2013-10-27,2013-11-01,10,1,10
SO68806,428,175,2013-10-20,2013-10-27,2013-11-01,2384,1,2384
SO68816,14212,122,2013-10-21,2013-10-28,2013-11-02,21,1,21
SO68830,501,122,2013-10-21,2013-10-28,2013-11-02,21,1,21
SO68840,9468,101,2013-10-21,2013-10-28,2013-11-02,10,1,10
SO68840,9468,112,2013-10-21,2013-10-28,2013-11-02,2,1,2
SO68853,13076,110,2013-10-21,2013-10-28,2013-11-02,35,1,35
SO71638,17027,112,2013-11-27,2013-12-04,2013-12-09,2,1,2
SO71672,7952,101,2013-11-27,2013-12-04,2013-12-09,10,1,10
SO71693,10958,115,2013-11-28,2013-12-05,2013-12-10,33,1,33
SO71735,981,110,2013-11-28,2013-12-05,2013-12-10,35,1,35
SO71738,6447,101,2013-11-28,2013-12-05,2013-12-10,10,1,10
SO71751,15438,147,2013-11-28,2013-12-05,2013-12-10,1120,1,1120
SO71757,4758,141,2013-11-28,2013-12-05,2013-12-10,2295,1,2295
SO71761,16543,175,2013-11-28,2013-12-05,2013-12-10,2384,1,2384
SO71955,3055,112,2013-11-29,2013-12-06,2013-12-11,2,1,2
SO71965,331,122,2013-11-29,2013-12-06,2013-12-11,21,1,21
SO71965,331,110,2013-11-29,2013-12-06,2013-12-11,35,1,35
SO54510,3354,110,2013-03-16,2013-03-23,2013-03-28,35,1,35
SO54528,1134,101,2013-03-17,2013-03-24,2013-03-29,10,1,10
SO54528,1134,110,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54543,14153,115,2013-03-17,2013-03-24,2013-03-29,33,1,33
SO54543,14153,112,2013-03-17,2013-03-24,2013-03-29,2,1,2
SO54572,2939,110,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54600,3957,112,2013-03-18,2013-03-25,2013-03-30,2,1,2
SO54607,1065,184,2013-03-18,2013-03-25,2013-03-30,24,1,24
SO54614,8016,184,2013-03-18,2013-03-25,2013-03-30,24,1,24
SO54636,846,112,2013-03-18,2013-03-25,2013-03-30,2,1,2
SO54672,9053,115,2013-03-19,2013-03-26,2013-03-31,33,1,33
SO54687,1869,115,2013-03-19,2013-03-26,2013-03-31,33,1,33
SO54733,6027,101,2013-03-20,2013-03-27,2013-04-01,10,1,10
SO54733,6027,186,2013-03-20,2013-03-27,2013-04-01,24,1,24
SO54735,3724,101,2013-03-20,2013-03-27,2013-04-01,10,1,10
SO54737,6261,110,2013-03-20,2013-03-27,2013-04-01,35,1,35
SO54749,14687,112,2013-03-20,2013-03-27,2013-04-01,2,1,2
SO54752,11528,122,2013-03-20,2013-03-27,2013-04-01,21,1,21
SO54753,13568,112,2013-03-20,2013-03-27,2013-04-01,2,1,2
SO54761,7732,184,2013-03-20,2013-03-27,2013-04-01,24,1,24
SO54790,4760,110,2013-03-21,2013-03-28,2013-04-02,35,1,35
SO62996,6498,112,2013-07-28,2013-08-04,2013-08-09,2,1,2
SO63025,5011,112,2013-07-29,2013-08-05,2013-08-10,2,1,2
SO63033,11512,122,2013-07-29,2013-08-05,2013-08-10,21,1,21
SO63034,14534,122,2013-07-29,2013-08-05,2013-08-10,21,1,21
SO63034,14534,112,2013-07-29,2013-08-05,2013-08-10,2,1,2
SO63100,17494,165,2013-07-30,2013-08-06,2013-08-11,742,1,742
SO63100,17494,184,2013-07-30,2013-08-06,2013-08-11,24,1,24
SO63328,14686,122,2013-07-31,2013-08-07,2013-08-12,21,1,21
SO63333,2335,101,2013-07-31,2013-08-07,2013-08-12,10,1,10
SO63340,1449,112,2013-07-31,2013-08-07,2013-08-12,2,1,2
SO63391,10074,184,2013-08-01,2013-08-08,2013-08-13,24,1,24
SO63419,15956,122,2013-08-01,2013-08-08,2013-08-13,21,1,21
SO63493,395,110,2013-08-02,2013-08-09,2013-08-14,35,1,35
SO60263,9924,101,2013-06-16,2013-06-23,2013-06-28,10,1,10
SO60310,9188,186,2013-06-16,2013-06-23,2013-06-28,24,1,24
SO60315,1633,110,2013-06-16,2013-06-23,2013-06-28,35,1,35
SO60337,331,112,2013-06-17,2013-06-24,2013-06-29,2,1,2
SO60346,15086,110,2013-06-17,2013-06-24,2013-06-29,35,1,35
SO60346,15086,184,2013-06-17,2013-06-24,2013-06-29,24,1,24
SO60355,15888,112,2013-06-17,2013-06-24,2013-06-29,2,1,2
SO60365,2454,110,2013-06-17,2013-06-24,2013-06-29,35,1,35
SO60396,15119,112,2013-06-18,2013-06-25,2013-06-30,2,1,2
SO60398,11760,112,2013-06-18,2013-06-25,2013-06-30,2,1,2
SO60457,1381,112,2013-06-19,2013-06-26,2013-07-01,2,1,2
SO60532,14183,115,2013-06-20,2013-06-27,2013-07-02,33,1,33
